,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,305,first,0,,,norm,inv,
1,1,409,other,,1.0,2.0,norm,inv,norm
2,2,526,other,,2.0,1.0,norm,inv,norm
3,3,637,other,,3.0,0.0,norm,inv,norm
4,4,1070,first,3,,,inv,norm,norm
5,5,1180,other,,0.0,0.0,inv,norm,inv
6,6,1299,first,1,,,norm,shinv,inv
7,7,1422,other,,0.0,5.0,norm,shinv,norm
8,8,1776,other,,1.0,4.0,norm,shinv,norm
9,9,1887,other,,2.0,3.0,norm,shinv,norm
10,10,2010,other,,3.0,2.0,norm,shinv,norm
11,11,2133,other,,4.0,1.0,norm,shinv,norm
12,12,2558,other,,5.0,0.0,norm,shinv,norm
13,13,2670,first,6,,,shinv,norm,norm
14,14,2789,other,,0.0,0.0,shinv,norm,shinv
15,15,2906,first,1,,,norm,inv,shinv
16,16,3402,first,0,,,inv,shinv,norm
17,17,3512,other,,0.0,2.0,inv,shinv,inv
18,18,3643,other,,1.0,1.0,inv,shinv,inv
19,19,3754,other,,2.0,0.0,inv,shinv,inv
20,20,4163,first,3,,,shinv,inv,inv
21,21,4275,first,0,,,inv,norm,shinv
22,22,4410,other,,0.0,2.0,inv,norm,inv
23,23,4523,other,,1.0,1.0,inv,norm,inv
24,24,4990,other,,2.0,0.0,inv,norm,inv
25,25,5093,first,3,,,norm,inv,inv
26,26,5203,other,,0.0,0.0,norm,inv,norm
27,27,5310,first,1,,,inv,norm,norm
28,28,5610,other,,0.0,3.0,inv,norm,inv
29,29,5714,other,,1.0,2.0,inv,norm,inv
30,30,5824,other,,2.0,1.0,inv,norm,inv
31,31,5933,other,,3.0,0.0,inv,norm,inv
32,32,6281,first,4,,,norm,shinv,inv
33,33,6397,other,,0.0,0.0,norm,shinv,norm
34,34,6507,first,1,,,shinv,inv,norm
35,35,6628,other,,0.0,0.0,shinv,inv,shinv
36,36,6939,first,1,,,inv,shinv,shinv
37,37,7145,other,,0.0,7.0,inv,shinv,inv
38,38,7261,other,,1.0,6.0,inv,shinv,inv
39,39,7664,other,,2.0,5.0,inv,shinv,inv
40,40,7820,other,,3.0,4.0,inv,shinv,inv
41,41,7945,other,,4.0,3.0,inv,shinv,inv
42,42,8068,other,,5.0,2.0,inv,shinv,inv
43,43,8498,other,,6.0,1.0,inv,shinv,inv
44,44,8619,other,,7.0,0.0,inv,shinv,inv
45,45,8747,first,8,,,shinv,inv,inv
46,46,8973,other,,0.0,0.0,shinv,inv,shinv
47,47,9294,first,1,,,inv,shinv,shinv
48,48,9422,other,,0.0,1.0,inv,shinv,inv
49,49,9562,other,,1.0,0.0,inv,shinv,inv
50,50,9735,first,2,,,shinv,inv,inv
51,51,10141,first,0,,,inv,shinv,shinv
52,52,10272,other,,0.0,9.0,inv,shinv,inv
53,53,10406,other,,1.0,8.0,inv,shinv,inv
54,54,10535,other,,2.0,7.0,inv,shinv,inv
55,55,10905,other,,3.0,6.0,inv,shinv,inv
56,56,11069,other,,4.0,5.0,inv,shinv,inv
57,57,11175,other,,5.0,4.0,inv,shinv,inv
58,58,11297,other,,6.0,3.0,inv,shinv,inv
59,59,11629,other,,7.0,2.0,inv,shinv,inv
60,60,11837,other,,8.0,1.0,inv,shinv,inv
