,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,81,first,0,,,norm,shinv,
1,1,189,other,,1.0,4.0,norm,shinv,norm
2,2,625,other,,2.0,3.0,norm,shinv,norm
3,3,747,other,,3.0,2.0,norm,shinv,norm
4,4,860,other,,4.0,1.0,norm,shinv,norm
5,5,968,other,,5.0,0.0,norm,shinv,norm
6,6,1373,first,5,,,shinv,norm,norm
7,7,1489,other,,0.0,0.0,shinv,norm,shinv
8,8,1597,first,1,,,norm,inv,shinv
9,9,1720,other,,0.0,3.0,norm,inv,norm
10,10,2240,other,,1.0,2.0,norm,inv,norm
11,11,2351,other,,2.0,1.0,norm,inv,norm
12,12,2472,other,,3.0,0.0,norm,inv,norm
13,13,2591,first,4,,,inv,norm,norm
14,14,3076,first,0,,,norm,shinv,inv
15,15,3207,other,,0.0,3.0,norm,shinv,norm
16,16,3357,other,,1.0,2.0,norm,shinv,norm
17,17,3459,other,,2.0,1.0,norm,shinv,norm
18,18,4032,other,,3.0,0.0,norm,shinv,norm
19,19,4165,first,4,,,shinv,norm,norm
20,20,4291,other,,0.0,0.0,shinv,norm,shinv
21,21,4414,first,1,,,norm,inv,shinv
22,22,5106,first,0,,,inv,shinv,norm
23,23,5229,other,,0.0,2.0,inv,shinv,inv
24,24,5362,other,,1.0,1.0,inv,shinv,inv
25,25,5486,other,,2.0,0.0,inv,shinv,inv
26,26,6235,first,3,,,shinv,inv,inv
27,27,6373,other,,0.0,1.0,inv,norm,shinv
28,28,6490,other,,1.0,0.0,inv,norm,inv
29,29,6614,first,2,,,norm,inv,inv
30,30,7277,first,0,,,inv,norm,norm
31,31,7419,other,,0.0,1.0,inv,norm,inv
32,32,7548,other,,1.0,0.0,inv,norm,inv
33,33,7690,first,2,,,norm,shinv,inv
34,34,8388,first,0,,,shinv,inv,norm
35,35,8503,other,,0.0,6.0,inv,shinv,shinv
36,36,8625,other,,1.0,5.0,inv,shinv,inv
37,37,8734,other,,2.0,4.0,inv,shinv,inv
38,38,9339,other,,3.0,3.0,inv,shinv,inv
39,39,9464,other,,4.0,2.0,inv,shinv,inv
40,40,9578,other,,5.0,1.0,inv,shinv,inv
41,41,9689,other,,6.0,0.0,inv,shinv,inv
42,42,10297,first,7,,,shinv,inv,inv
43,43,10410,other,,0.0,2.0,shinv,inv,shinv
44,44,10556,other,,1.0,1.0,shinv,inv,shinv
45,45,10670,other,,2.0,0.0,shinv,inv,shinv
46,46,11308,first,3,,,inv,shinv,shinv
47,47,11428,other,,0.0,0.0,shinv,inv,inv
48,48,11547,first,1,,,inv,shinv,shinv
49,49,11673,other,,0.0,4.0,inv,shinv,inv
50,50,12506,other,,1.0,3.0,inv,shinv,inv
51,51,12625,other,,2.0,2.0,inv,shinv,inv
52,52,12736,other,,3.0,1.0,inv,shinv,inv
53,53,12847,other,,4.0,0.0,inv,shinv,inv
54,54,13600,first,5,,,shinv,inv,inv
55,55,13718,other,,0.0,2.0,shinv,inv,shinv
56,56,13833,other,,1.0,1.0,shinv,inv,shinv
57,57,13948,other,,2.0,0.0,shinv,inv,shinv
58,58,14575,first,3,,,inv,shinv,shinv
59,59,14690,first,0,,,shinv,inv,inv
60,60,14821,other,,0.0,1.0,shinv,inv,shinv
61,61,14937,other,,1.0,0.0,shinv,inv,shinv
62,62,15473,first,2,,,inv,norm,shinv
63,63,15609,other,,0.0,0.0,inv,norm,inv
64,64,15756,first,1,,,norm,inv,inv
65,65,15902,other,,0.0,0.0,norm,inv,norm
66,66,16381,first,1,,,inv,norm,norm
67,67,16531,other,,0.0,2.0,inv,norm,inv
68,68,16675,other,,1.0,1.0,inv,norm,inv
69,69,16804,other,,2.0,0.0,inv,norm,inv
70,70,17354,first,3,,,norm,shinv,inv
71,71,17509,first,0,,,shinv,inv,norm
72,72,17645,other,,0.0,0.0,inv,shinv,shinv
73,73,17800,first,1,,,shinv,norm,inv
74,74,18453,other,,0.0,1.0,shinv,norm,shinv
75,75,18576,other,,1.0,0.0,shinv,norm,shinv
76,76,18710,first,2,,,norm,shinv,shinv
77,77,18843,other,,0.0,2.0,norm,shinv,norm
78,78,19572,other,,1.0,1.0,norm,shinv,norm
79,79,19694,other,,2.0,0.0,norm,shinv,norm
80,80,19851,first,3,,,shinv,norm,norm
81,81,19956,other,,0.0,0.0,shinv,norm,shinv
82,82,20426,first,1,,,norm,inv,shinv
83,83,20532,other,,0.0,1.0,norm,inv,norm
84,84,20759,other,,1.0,0.0,norm,inv,norm
85,85,21129,first,2,,,inv,shinv,norm
86,86,21409,other,,0.0,8.0,inv,shinv,inv
87,87,21520,other,,1.0,7.0,inv,shinv,inv
88,88,21644,other,,2.0,6.0,inv,shinv,inv
89,89,22161,other,,3.0,5.0,inv,shinv,inv
90,90,22279,other,,4.0,4.0,inv,shinv,inv
91,91,22398,other,,5.0,3.0,inv,shinv,inv
92,92,22501,other,,6.0,2.0,inv,shinv,inv
93,93,23124,other,,7.0,1.0,inv,shinv,inv
94,94,23273,other,,8.0,0.0,inv,shinv,inv
95,95,23417,first,9,,,shinv,inv,inv
96,96,23543,other,,0.0,0.0,shinv,inv,shinv
97,97,24210,first,1,,,inv,norm,shinv
98,98,24341,other,,0.0,0.0,inv,norm,inv
99,99,24456,first,1,,,norm,inv,inv
100,100,24570,other,,0.0,0.0,norm,inv,norm
101,101,25174,first,1,,,inv,norm,norm
102,102,25309,other,,0.0,2.0,inv,norm,inv
103,103,25429,other,,1.0,1.0,inv,norm,inv
104,104,25541,other,,2.0,0.0,inv,norm,inv
105,105,26079,first,3,,,norm,shinv,inv
106,106,26208,first,0,,,shinv,inv,norm
107,107,26342,other,,0.0,0.0,inv,shinv,shinv
108,108,26465,first,1,,,shinv,norm,inv
109,109,27253,other,,0.0,0.0,shinv,norm,shinv
110,110,27400,first,1,,,norm,shinv,shinv
111,111,27522,other,,0.0,2.0,norm,shinv,norm
112,112,27647,other,,1.0,1.0,norm,shinv,norm
113,113,28291,other,,2.0,0.0,norm,shinv,norm
114,114,28430,first,3,,,shinv,norm,norm
115,115,28537,other,,0.0,1.0,shinv,norm,shinv
116,116,28656,other,,1.0,0.0,shinv,norm,shinv
117,117,29501,first,2,,,norm,inv,shinv
118,118,29624,other,,0.0,0.0,norm,inv,norm
119,119,29780,first,1,,,inv,norm,norm
120,120,29895,other,,0.0,12.0,inv,norm,inv
121,121,30607,other,,1.0,11.0,inv,norm,inv
122,122,30730,other,,2.0,10.0,inv,norm,inv
123,123,30842,other,,3.0,9.0,inv,norm,inv
124,124,30956,other,,4.0,8.0,inv,norm,inv
125,125,31798,other,,5.0,7.0,inv,norm,inv
126,126,31928,other,,6.0,6.0,inv,norm,inv
127,127,32046,other,,7.0,5.0,inv,norm,inv
128,128,32192,other,,8.0,4.0,inv,norm,inv
129,129,32742,other,,9.0,3.0,inv,norm,inv
130,130,32855,other,,10.0,2.0,inv,norm,inv
131,131,32963,other,,11.0,1.0,inv,norm,inv
132,132,33105,other,,12.0,0.0,inv,norm,inv
133,133,33719,first,13,,,norm,inv,inv
134,134,33839,other,,0.0,1.0,inv,norm,norm
135,135,33945,other,,1.0,0.0,inv,norm,inv
136,136,34990,first,2,,,norm,shinv,inv
137,137,35111,other,,0.0,6.0,shinv,shinv,norm
138,138,35262,other,,1.0,5.0,shinv,shinv,shinv
139,139,35394,other,,2.0,4.0,shinv,shinv,shinv
140,140,36266,other,,3.0,3.0,shinv,shinv,shinv
141,141,36380,other,,4.0,2.0,shinv,shinv,shinv
142,142,36541,other,,5.0,1.0,shinv,shinv,shinv
143,143,36667,other,,6.0,0.0,shinv,shinv,shinv
144,144,37714,first,7,,,shinv,inv,shinv
145,145,37832,other,,0.0,0.0,inv,shinv,shinv
146,146,37948,first,1,,,shinv,inv,inv
147,147,38066,other,,0.0,0.0,shinv,inv,shinv
148,148,38987,first,1,,,inv,shinv,shinv
149,149,39091,other,,0.0,1.0,inv,shinv,inv
150,150,39196,other,,1.0,0.0,inv,shinv,inv
151,151,40275,first,2,,,shinv,inv,inv
152,152,40376,other,,0.0,1.0,shinv,inv,shinv
153,153,40485,other,,1.0,0.0,shinv,inv,shinv
154,154,41104,first,2,,,inv,norm,shinv
155,155,41230,other,,0.0,11.0,inv,norm,inv
156,156,41472,other,,1.0,10.0,inv,norm,inv
157,157,42012,other,,2.0,9.0,inv,norm,inv
158,158,42115,other,,3.0,8.0,inv,norm,inv
159,159,42228,other,,4.0,7.0,inv,norm,inv
160,160,42334,other,,5.0,6.0,inv,norm,inv
161,161,42770,other,,6.0,5.0,inv,norm,inv
162,162,42882,other,,7.0,4.0,inv,norm,inv
163,163,43011,other,,8.0,3.0,inv,norm,inv
164,164,43114,other,,9.0,2.0,inv,norm,inv
165,165,43651,other,,10.0,1.0,inv,norm,inv
166,166,43769,other,,11.0,0.0,inv,norm,inv
167,167,43871,first,12,,,norm,inv,inv
168,168,43983,other,,0.0,0.0,norm,inv,norm
169,169,44767,first,1,,,inv,norm,norm
170,170,44882,first,0,,,norm,shinv,inv
171,171,44993,other,,0.0,5.0,norm,shinv,norm
172,172,45106,other,,1.0,4.0,norm,shinv,norm
173,173,45683,other,,2.0,3.0,norm,shinv,norm
174,174,45806,other,,3.0,2.0,norm,shinv,norm
175,175,45930,other,,4.0,1.0,norm,shinv,norm
176,176,46051,other,,5.0,0.0,norm,shinv,norm
177,177,46720,first,6,,,shinv,norm,norm
178,178,46832,other,,0.0,2.0,norm,inv,shinv
179,179,46992,other,,1.0,1.0,inv,shinv,norm
180,180,47101,other,,2.0,0.0,inv,shinv,inv
181,181,48332,first,3,,,shinv,inv,inv
182,182,48443,other,,0.0,0.0,inv,norm,shinv
183,183,48555,first,1,,,norm,inv,inv
184,184,49703,first,0,,,inv,norm,norm
185,185,49962,first,0,,,norm,shinv,inv
186,186,50096,other,,0.0,6.0,shinv,shinv,norm
187,187,50200,other,,1.0,5.0,shinv,shinv,shinv
188,188,50917,other,,2.0,4.0,shinv,shinv,shinv
189,189,51030,other,,3.0,3.0,shinv,shinv,shinv
190,190,51151,other,,4.0,2.0,shinv,shinv,shinv
191,191,51261,other,,5.0,1.0,shinv,shinv,shinv
192,192,52133,other,,6.0,0.0,shinv,shinv,shinv
193,193,52240,first,7,,,shinv,inv,shinv
194,194,52372,other,,0.0,1.0,shinv,inv,shinv
195,195,52481,other,,1.0,0.0,shinv,inv,shinv
196,196,53259,first,2,,,inv,shinv,shinv
197,197,53372,other,,0.0,10.0,inv,shinv,inv
198,198,53484,other,,1.0,9.0,inv,shinv,inv
199,199,53592,other,,2.0,8.0,inv,shinv,inv
200,200,54364,other,,3.0,7.0,inv,shinv,inv
201,201,54470,other,,4.0,6.0,inv,shinv,inv
202,202,54589,other,,5.0,5.0,inv,shinv,inv
203,203,55138,other,,6.0,4.0,inv,shinv,inv
204,204,55246,other,,7.0,3.0,inv,shinv,inv
205,205,55360,other,,8.0,2.0,inv,shinv,inv
206,206,55469,other,,9.0,1.0,inv,shinv,inv
207,207,56020,other,,10.0,0.0,inv,shinv,inv
208,208,56134,first,11,,,shinv,inv,inv
209,209,56286,other,,0.0,1.0,shinv,inv,shinv
210,210,56389,other,,1.0,0.0,shinv,inv,shinv
211,211,56926,first,2,,,inv,shinv,shinv
212,212,57126,first,0,,,shinv,inv,inv
213,213,57231,other,,0.0,0.0,shinv,inv,shinv
214,214,57958,first,1,,,inv,norm,shinv
215,215,58187,other,,0.0,0.0,inv,norm,inv
216,216,58302,first,1,,,norm,inv,inv
217,217,58905,first,0,,,inv,norm,norm
218,218,59028,other,,0.0,2.0,inv,norm,inv
219,219,59176,other,,1.0,1.0,inv,norm,inv
220,220,59306,other,,2.0,0.0,inv,norm,inv
221,221,60074,first,3,,,norm,shinv,inv
222,222,60207,first,0,,,shinv,inv,norm
223,223,60390,other,,0.0,0.0,inv,shinv,shinv
224,224,61378,first,1,,,shinv,norm,inv
225,225,61480,other,,0.0,1.0,norm,shinv,shinv
226,226,61598,other,,1.0,0.0,norm,shinv,norm
227,227,62484,first,2,,,shinv,norm,norm
228,228,62593,other,,0.0,2.0,norm,inv,shinv
229,229,62699,other,,1.0,1.0,norm,inv,norm
230,230,62812,other,,2.0,0.0,norm,inv,norm
231,231,63886,first,3,,,inv,norm,norm
232,232,64002,other,,0.0,7.0,inv,norm,inv
233,233,64110,other,,1.0,6.0,inv,norm,inv
234,234,64212,other,,2.0,5.0,inv,norm,inv
235,235,65112,other,,3.0,4.0,inv,norm,inv
236,236,65219,other,,4.0,3.0,inv,norm,inv
237,237,65357,other,,5.0,2.0,inv,norm,inv
238,238,65471,other,,6.0,1.0,inv,norm,inv
239,239,66220,other,,7.0,0.0,inv,norm,inv
240,240,66330,first,8,,,norm,inv,inv
241,241,66463,other,,0.0,1.0,norm,inv,norm
242,242,66597,other,,1.0,0.0,norm,inv,norm
243,243,67454,first,2,,,inv,norm,norm
244,244,67715,other,,0.0,2.0,norm,shinv,inv
245,245,67858,other,,1.0,1.0,norm,shinv,norm
246,246,67986,other,,2.0,0.0,norm,shinv,norm
247,247,68856,first,3,,,shinv,norm,norm
248,248,68972,first,0,,,norm,inv,shinv
249,249,69116,other,,0.0,1.0,norm,inv,norm
250,250,69226,other,,1.0,0.0,norm,inv,norm
251,251,69875,first,2,,,inv,inv,norm
252,252,69976,other,,0.0,1.0,inv,inv,inv
253,253,70120,other,,1.0,0.0,inv,inv,inv
254,254,70982,first,2,,,inv,norm,inv
255,255,71185,other,,0.0,0.0,norm,shinv,inv
256,256,72092,first,1,,,shinv,norm,norm
257,257,72232,other,,0.0,0.0,norm,inv,shinv
258,258,72340,first,1,,,inv,norm,norm
259,259,72488,other,,0.0,0.0,inv,norm,inv
260,260,74182,first,1,,,norm,inv,inv
261,261,74288,other,,0.0,0.0,norm,inv,norm
262,262,74428,first,1,,,inv,norm,norm
263,263,74543,other,,0.0,0.0,inv,norm,inv
264,264,75757,first,1,,,norm,shinv,inv
265,265,75962,other,,0.0,,shinv,inv,norm
